source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000019,S12000026,116,59,32,129,-84,-57,13,336,112.5,3.5,0.33
S12000019,S12000028,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000019,S12000029,17,20,4,17,-13,3,0,58,19.4,-2.4,-0.55
S12000019,S12000030,12,13,16,13,4,1,1,54,18.1,-6.1,-1.43
S12000019,S12000033,5,8,5,4,0,3,-1,22,7.4,-2.4,-0.87
S12000019,S12000034,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000019,S12000035,12,0,0,0,-12,-12,-12,12,4.0,8.0,3.98
S12000019,S12000036,6706,1542,4836,4928,-1870,-5164,-1778,18012,6031.2,674.8,8.69
S12000019,S12000038,8,5,0,0,-8,-3,-8,13,4.4,3.6,1.75
S12000019,S12000040,200,216,149,198,-51,16,-2,763,255.5,-55.5,-3.47
S12000019,S12000042,7,0,5,8,-2,-7,1,20,6.7,0.3,0.12
S12000019,S12000044,27,29,20,25,-7,2,-2,101,33.8,-6.8,-1.17
S12000019,S12000045,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000019,S12000046,34,19,38,44,4,-15,10,135,45.2,-11.2,-1.67
S12000020,S12000005,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000020,S12000006,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000010,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000020,S12000013,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000015,14,4,3,0,-11,-10,-14,21,7.0,7.0,2.63
S12000020,S12000017,574,213,259,383,-315,-361,-191,1429,478.5,95.5,4.37
S12000020,S12000018,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000020,S12000020,10944,6568,2352,10440,-8592,-4376,-504,30304,10147.0,797.0,7.91
S12000020,S12000023,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000020,S12000024,4,3,0,7,-4,-1,3,14,4.7,-0.7,-0.32
S12000020,S12000028,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000029,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000020,S12000030,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000020,S12000033,324,368,194,247,-130,44,-77,1133,379.4,-55.4,-2.84
S12000020,S12000034,443,378,142,377,-301,-65,-66,1340,448.7,-5.7,-0.27
S12000020,S12000035,64,5,0,13,-64,-59,-51,82,27.5,36.5,6.97
S12000020,S12000036,15,5,8,10,-7,-10,-5,38,12.7,2.3,0.64
S12000020,S12000038,5,0,3,0,-2,-5,-5,8,2.7,2.3,1.42
S12000020,S12000042,0,0,0,8,0,0,8,8,2.7,-2.7,-1.64
S12000020,S12000044,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000046,12,6,4,9,-8,-6,-3,31,10.4,1.6,0.50
S12000021,S12000005,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000021,S12000006,41,15,12,23,-29,-26,-18,91,30.5,10.5,1.91
S12000021,S12000008,2479,605,508,937,-1971,-1874,-1542,4529,1516.5,962.5,24.72
S12000021,S12000010,5,3,0,0,-5,-2,-5,8,2.7,2.3,1.42
S12000021,S12000011,104,64,34,98,-70,-40,-6,300,100.5,3.5,0.35
S12000021,S12000014,9,25,5,5,-4,16,-4,44,14.7,-5.7,-1.49
S12000021,S12000015,13,9,0,3,-13,-4,-10,25,8.4,4.6,1.60
S12000021,S12000017,9,5,0,7,-9,-4,-2,21,7.0,2.0,0.74
S12000021,S12000018,560,158,347,442,-213,-402,-118,1507,504.6,55.4,2.47
S12000021,S12000019,13,0,0,0,-13,-13,-13,13,4.4,8.6,4.14
S12000021,S12000020,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000021,S12000021,9245,4727,2405,10244,-6840,-4518,999,26621,8913.8,331.2,3.51
S12000021,S12000024,0,0,3,11,3,0,11,14,4.7,-4.7,-2.17
S12000021,S12000026,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000021,S12000027,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000021,S12000028,1226,883,342,1168,-884,-343,-58,3619,1211.8,14.2,0.41
S12000021,S12000029,157,176,88,100,-69,19,-57,521,174.5,-17.5,-1.32
S12000021,S12000030,11,6,0,6,-11,-5,-5,23,7.7,3.3,1.19
S12000021,S12000033,23,59,15,8,-8,36,-15,105,35.2,-12.2,-2.05
S12000021,S12000034,4,13,0,5,-4,9,1,22,7.4,-3.4,-1.24
S12000021,S12000035,97,19,24,24,-73,-78,-73,164,54.9,42.1,5.68
S12000021,S12000036,41,16,44,16,3,-25,-25,117,39.2,1.8,0.29
S12000021,S12000038,1351,839,432,977,-919,-512,-374,3599,1205.1,145.9,4.20
S12000021,S12000039,89,53,46,44,-43,-36,-45,232,77.7,11.3,1.28
S12000021,S12000040,11,17,14,11,3,6,0,53,17.7,-6.7,-1.60
S12000021,S12000041,3,8,0,0,-3,5,-3,11,3.7,-0.7,-0.36
S12000021,S12000042,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000021,S12000044,94,124,39,53,-55,30,-41,310,103.8,-9.8,-0.96
S12000021,S12000045,22,25,26,15,4,3,-7,88,29.5,-7.5,-1.38
S12000021,S12000046,1786,767,1811,1457,25,-1019,-329,5821,1949.1,-163.1,-3.69
S12000023,S12000017,17,10,4,10,-13,-7,-7,41,13.7,3.3,0.88
S12000023,S12000020,7,3,0,0,-7,-4,-7,10,3.3,3.7,2.00
S12000023,S12000023,3100,1228,721,2691,-2379,-1872,-409,7740,2591.7,508.3,9.99
S12000023,S12000024,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000023,S12000027,8,0,0,4,-8,-8,-4,12,4.0,4.0,1.99
S12000023,S12000033,37,14,6,9,-31,-23,-28,66,22.1,14.9,3.17
S12000023,S12000034,8,0,0,0,-8,-8,-8,8,2.7,5.3,3.25
S12000023,S12000035,11,0,0,3,-11,-11,-8,14,4.7,6.3,2.92
S12000023,S12000036,5,0,0,7,-5,-5,2,12,4.0,1.0,0.49
S12000023,S12000046,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000024,S12000005,88,43,26,92,-62,-45,4,249,83.4,4.6,0.51
S12000024,S12000006,9,3,0,0,-9,-6,-9,12,4.0,5.0,2.49
S12000024,S12000010,6,7,7,8,1,1,2,28,9.4,-3.4,-1.10
S12000024,S12000014,88,70,32,66,-56,-18,-22,256,85.7,2.3,0.25
S12000024,S12000015,852,493,283,634,-569,-359,-218,2262,757.4,94.6,3.44
S12000024,S12000017,44,10,8,24,-36,-34,-20,86,28.8,15.2,2.83
S12000024,S12000019,10,7,8,9,-2,-3,-1,34,11.4,-1.4,-0.41
S12000024,S12000020,16,8,0,0,-16,-8,-16,24,8.0,8.0,2.81
S12000024,S12000024,14977,5940,5123,17088,-9854,-9037,2111,43128,14441.1,535.9,4.46
S12000024,S12000026,3,7,0,3,-3,4,0,13,4.4,-1.4,-0.65
S12000024,S12000028,4,4,0,0,-4,0,-4,8,2.7,1.3,0.81
S12000024,S12000029,26,31,9,23,-17,5,-3,89,29.8,-3.8,-0.70
S12000024,S12000030,354,125,199,389,-155,-229,35,1067,357.3,-3.3,-0.17
S12000024,S12000033,52,76,44,58,-8,24,6,230,77.0,-25.0,-2.85
S12000024,S12000034,23,26,15,17,-8,3,-6,81,27.1,-4.1,-0.79
S12000024,S12000035,24,4,0,3,-24,-20,-21,31,10.4,13.6,4.23
S12000024,S12000036,516,159,658,268,142,-357,-248,1601,536.1,-20.1,-0.87
S12000024,S12000038,30,15,6,29,-24,-15,-1,80,26.8,3.2,0.62
S12000024,S12000039,9,3,0,3,-9,-6,-6,15,5.0,4.0,1.77
S12000024,S12000040,54,48,44,60,-10,-6,6,206,69.0,-15.0,-1.80
S12000024,S12000041,271,147,66,179,-205,-124,-92,663,222.0,49.0,3.29
S12000024,S12000042,2011,508,661,1609,-1350,-1503,-402,4789,1603.6,407.4,10.17
S12000024,S12000044,53,65,32,28,-21,12,-25,178,59.6,-6.6,-0.86
S12000024,S12000045,0,8,5,3,5,8,3,16,5.4,-5.4,-2.31
S12000024,S12000046,142,75,170,120,28,-67,-22,507,169.8,-27.8,-2.13
S12000026,S12000006,24,19,5,43,-19,-5,19,91,30.5,-6.5,-1.17
S12000026,S12000008,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000026,S12000010,354,125,114,213,-240,-229,-141,806,269.9,84.1,5.12
S12000026,S12000014,26,10,5,6,-21,-16,-20,47,15.7,10.3,2.59
S12000026,S12000015,23,25,15,18,-8,2,-5,81,27.1,-4.1,-0.79
S12000026,S12000017,0,4,0,8,0,4,8,12,4.0,-4.0,-2.00
S12000026,S12000019,378,185,245,314,-133,-193,-64,1122,375.7,2.3,0.12
S12000026,S12000020,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000026,S12000024,4,0,0,9,-4,-4,5,13,4.4,-0.4,-0.17
S12000026,S12000026,11167,6476,3197,11497,-7970,-4691,330,32337,10827.8,339.2,3.26
S12000026,S12000028,0,0,3,0,3,0,0,3,1.0,-1.0,-1.00
S12000026,S12000029,56,42,19,46,-37,-14,-10,163,54.6,1.4,0.19
S12000026,S12000030,13,7,11,13,-2,-6,0,44,14.7,-1.7,-0.45
S12000026,S12000033,10,11,5,14,-5,1,4,40,13.4,-3.4,-0.93
S12000026,S12000034,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000026,S12000035,11,0,0,0,-11,-11,-11,11,3.7,7.3,3.81
S12000026,S12000036,1525,291,1349,1046,-176,-1234,-479,4211,1410.0,115.0,3.06
S12000026,S12000038,8,5,0,0,-8,-3,-8,13,4.4,3.6,1.75
S12000026,S12000040,61,54,41,51,-20,-7,-10,207,69.3,-8.3,-1.00
S12000026,S12000041,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000026,S12000042,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000026,S12000044,16,16,5,17,-11,0,1,54,18.1,-2.1,-0.49
S12000026,S12000046,34,11,49,38,15,-23,4,132,44.2,-10.2,-1.53
S12000027,S12000023,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000027,S12000027,4297,1762,859,3223,-3438,-2535,-1074,10141,3395.6,901.4,15.47
S12000027,S12000033,36,20,16,18,-20,-16,-18,90,30.1,5.9,1.07
S12000027,S12000034,4,0,3,16,-1,-4,12,23,7.7,-3.7,-1.33
S12000027,S12000036,5,0,5,0,0,-5,-5,10,3.3,1.7,0.90
S12000027,S12000042,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000028,S12000005,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000028,S12000006,117,53,35,81,-82,-64,-36,286,95.8,21.2,2.17
S12000028,S12000008,1924,599,405,1084,-1519,-1325,-840,4012,1343.4,580.6,15.84
S12000028,S12000011,52,22,21,70,-31,-30,18,165,55.2,-3.2,-0.44
S12000028,S12000013,6,0,5,0,-1,-6,-6,11,3.7,2.3,1.21
S12000028,S12000014,4,9,0,4,-4,5,0,17,5.7,-1.7,-0.71
S12000028,S12000015,13,0,3,6,-10,-13,-7,22,7.4,5.6,2.08
S12000028,S12000017,3,3,0,0,-3,0,-3,6,2.0,1.0,0.70
S12000028,S12000018,36,8,18,29,-18,-28,-7,91,30.5,5.5,1.00
S12000028,S12000019,11,0,0,0,-11,-11,-11,11,3.7,7.3,3.81
S12000028,S12000020,5,0,0,0,-5,-5,-5,5,1.7,3.3,2.57
S12000028,S12000021,1026,673,264,834,-762,-353,-192,2797,936.6,89.4,2.92
S12000028,S12000024,0,6,0,4,0,6,4,10,3.3,-3.3,-1.83
S12000028,S12000027,8,0,0,0,-8,-8,-8,8,2.7,5.3,3.25
S12000028,S12000028,9518,4253,2379,11427,-7139,-5265,1909,27577,9233.9,284.1,2.96
S12000028,S12000029,143,130,82,90,-61,-13,-53,445,149.0,-6.0,-0.49
S12000028,S12000030,8,4,5,14,-3,-4,6,31,10.4,-2.4,-0.74
S12000028,S12000033,16,18,3,8,-13,2,-8,45,15.1,0.9,0.24
S12000028,S12000034,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000028,S12000035,17,0,0,7,-17,-17,-10,24,8.0,9.0,3.16
S12000028,S12000036,42,11,39,25,-3,-31,-17,117,39.2,2.8,0.45
S12000028,S12000038,341,222,109,199,-232,-119,-142,871,291.6,49.4,2.89
S12000028,S12000039,24,16,13,15,-11,-8,-9,68,22.8,1.2,0.26
S12000028,S12000040,12,14,8,8,-4,2,-4,42,14.1,-2.1,-0.55
S12000028,S12000042,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000028,S12000044,69,93,33,47,-36,24,-22,242,81.0,-12.0,-1.34
S12000028,S12000045,14,10,18,10,4,-4,-4,52,17.4,-3.4,-0.82
S12000028,S12000046,937,364,919,769,-18,-573,-168,2989,1000.8,-63.8,-2.02
S12000029,S12000005,17,30,8,21,-9,13,4,76,25.4,-8.4,-1.67
S12000029,S12000006,59,61,15,62,-44,2,3,197,66.0,-7.0,-0.86
S12000029,S12000008,227,118,53,122,-174,-109,-105,520,174.1,52.9,4.01
S12000029,S12000010,23,13,18,37,-5,-10,14,91,30.5,-7.5,-1.35
S12000029,S12000011,397,188,156,515,-241,-209,118,1256,420.6,-23.6,-1.15
S12000029,S12000013,10,0,0,0,-10,-10,-10,10,3.3,6.7,3.64
S12000029,S12000014,157,216,81,143,-76,59,-14,597,199.9,-42.9,-3.03
S12000029,S12000015,72,115,39,31,-33,43,-41,257,86.1,-14.1,-1.52
S12000029,S12000017,20,0,0,12,-20,-20,-8,32,10.7,9.3,2.84
S12000029,S12000018,62,52,35,45,-27,-10,-17,194,65.0,-3.0,-0.37
S12000029,S12000019,63,48,55,54,-8,-15,-9,220,73.7,-10.7,-1.24
S12000029,S12000020,13,0,0,0,-13,-13,-13,13,4.4,8.6,4.14
S12000029,S12000021,68,77,32,66,-36,9,-2,243,81.4,-13.4,-1.48
S12000029,S12000023,0,5,0,0,0,5,0,5,1.7,-1.7,-1.29
S12000029,S12000024,14,18,8,24,-6,4,10,64,21.4,-7.4,-1.60
S12000029,S12000026,72,35,15,93,-57,-37,21,215,72.0,0.0,0.00
S12000029,S12000027,3,3,4,0,1,0,-3,10,3.3,-0.3,-0.19
S12000029,S12000028,100,98,36,122,-64,-2,22,356,119.2,-19.2,-1.76
S12000029,S12000029,21848,11025,7104,22785,-14744,-10823,937,62762,21015.3,832.7,5.74
S12000029,S12000030,117,114,94,151,-23,-3,34,476,159.4,-42.4,-3.36
S12000029,S12000033,23,78,24,25,1,55,2,150,50.2,-27.2,-3.84
S12000029,S12000034,9,13,8,5,-1,4,-4,35,11.7,-2.7,-0.79
S12000029,S12000035,99,19,28,14,-71,-80,-85,160,53.6,45.4,6.21
S12000029,S12000036,679,229,872,464,193,-450,-215,2244,751.4,-72.4,-2.64
S12000029,S12000038,724,605,316,572,-408,-119,-152,2217,742.3,-18.3,-0.67
S12000029,S12000039,183,92,93,96,-90,-91,-87,464,155.4,27.6,2.22
S12000029,S12000040,593,500,422,537,-171,-93,-56,2052,687.1,-94.1,-3.59
S12000029,S12000041,7,4,0,0,-7,-3,-7,11,3.7,3.3,1.73
S12000029,S12000042,5,6,5,6,0,1,1,22,7.4,-2.4,-0.87
S12000029,S12000044,6142,2860,2175,4116,-3967,-3282,-2026,15293,5120.7,1021.3,14.27
S12000029,S12000045,170,147,206,167,36,-23,-3,690,231.0,-61.0,-4.02
S12000029,S12000046,11055,4073,8755,9118,-2300,-6982,-1937,33001,11050.1,4.9,0.05
S12000030,S12000005,464,255,123,390,-341,-209,-74,1232,412.5,51.5,2.53
S12000030,S12000006,0,3,0,6,0,3,6,9,3.0,-3.0,-1.74
S12000030,S12000008,6,0,0,0,-6,-6,-6,6,2.0,4.0,2.82
S12000030,S12000010,9,10,4,11,-5,1,2,34,11.4,-2.4,-0.71
S12000030,S12000011,7,9,0,7,-7,2,0,23,7.7,-0.7,-0.25
S12000030,S12000014,1141,557,285,796,-856,-584,-345,2779,930.5,210.5,6.90
S12000030,S12000015,142,81,58,84,-84,-61,-58,365,122.2,19.8,1.79
S12000030,S12000017,7,5,4,12,-3,-2,5,28,9.4,-2.4,-0.78
S12000030,S12000018,6,5,0,8,-6,-1,2,19,6.4,-0.4,-0.14
S12000030,S12000019,14,8,12,22,-2,-6,8,56,18.8,-4.8,-1.10
S12000030,S12000021,0,3,0,3,0,3,3,6,2.0,-2.0,-1.42
S12000030,S12000024,195,148,79,297,-116,-47,102,719,240.8,-45.8,-2.95
S12000030,S12000026,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000030,S12000027,0,0,3,0,3,0,0,3,1.0,-1.0,-1.00
S12000030,S12000028,5,0,0,4,-5,-5,-1,9,3.0,2.0,1.14
S12000030,S12000029,61,60,41,56,-20,-1,-5,218,73.0,-12.0,-1.40
S12000030,S12000030,6324,2575,2798,9024,-3526,-3749,2700,20721,6938.3,-614.3,-7.37
S12000030,S12000033,11,34,16,14,5,23,3,75,25.1,-14.1,-2.82
S12000030,S12000034,0,6,0,5,0,6,5,11,3.7,-3.7,-1.92
S12000030,S12000035,71,16,16,26,-55,-55,-45,129,43.2,27.8,4.23
S12000030,S12000036,411,133,651,280,240,-278,-131,1475,493.9,-82.9,-3.73
S12000030,S12000038,77,59,42,60,-35,-18,-17,238,79.7,-2.7,-0.30
S12000030,S12000039,130,34,28,93,-102,-96,-37,285,95.4,34.6,3.54
S12000030,S12000040,95,87,82,86,-13,-8,-9,350,117.2,-22.2,-2.05
S12000030,S12000041,10,9,0,8,-10,-1,-2,27,9.0,1.0,0.32
S12000030,S12000042,41,19,29,67,-12,-22,26,156,52.2,-11.2,-1.55
S12000030,S12000044,281,244,112,166,-169,-37,-115,803,268.9,12.1,0.74
S12000030,S12000045,94,66,88,147,-6,-28,53,395,132.3,-38.3,-3.33
S12000030,S12000046,880,310,902,854,22,-570,-26,2946,986.4,-106.4,-3.39
S12000033,S12000014,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000033,S12000015,3,7,0,7,-3,4,4,17,5.7,-2.7,-1.13
S12000033,S12000017,33,12,17,21,-16,-21,-12,83,27.8,5.2,0.99
S12000033,S12000020,27,5,7,10,-20,-22,-17,49,16.4,10.6,2.62
S12000033,S12000023,0,0,3,0,3,0,0,3,1.0,-1.0,-1.00
S12000033,S12000024,5,3,0,6,-5,-2,1,14,4.7,0.3,0.14
S12000033,S12000027,42,8,3,13,-39,-34,-29,66,22.1,19.9,4.23
S12000033,S12000028,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000033,S12000029,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000033,S12000030,6,4,0,3,-6,-2,-3,13,4.4,1.6,0.79
S12000033,S12000033,26294,18180,17517,31452,-8777,-8114,5158,93443,31288.6,-4994.6,-28.24
S12000033,S12000034,1679,2942,1839,2350,160,1263,671,8810,2950.0,-1271.0,-23.40
S12000033,S12000035,6,0,0,0,-6,-6,-6,6,2.0,4.0,2.82
S12000033,S12000036,28,11,26,15,-2,-17,-13,80,26.8,1.2,0.23
S12000033,S12000038,3,3,3,0,0,0,-3,9,3.0,0.0,-0.01
S12000033,S12000041,26,28,11,31,-15,2,5,96,32.1,-6.1,-1.08
S12000033,S12000042,19,8,5,36,-14,-11,17,68,22.8,-3.8,-0.79
S12000033,S12000044,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000033,S12000046,19,11,10,16,-9,-8,-3,56,18.8,0.2,0.06
S12000034,S12000006,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000034,S12000014,7,7,4,3,-3,0,-4,21,7.0,0.0,-0.01
S12000034,S12000015,24,6,8,10,-16,-18,-14,48,16.1,7.9,1.98
S12000034,S12000017,46,22,5,29,-41,-24,-17,102,34.2,11.8,2.03
S12000034,S12000019,0,0,3,0,3,0,0,3,1.0,-1.0,-1.00
S12000034,S12000020,288,185,62,201,-226,-103,-87,736,246.4,41.6,2.65
S12000034,S12000024,16,4,4,17,-12,-12,1,41,13.7,2.3,0.61
S12000034,S12000027,47,23,4,5,-43,-24,-42,79,26.5,20.5,4.00
S12000034,S12000029,3,0,3,0,0,-3,-3,6,2.0,1.0,0.70
S12000034,S12000030,0,0,0,9,0,0,9,9,3.0,-3.0,-1.74
S12000034,S12000033,12728,10918,9183,10064,-3545,-1810,-2664,42893,14362.4,-1634.4,-13.64
S12000034,S12000034,16850,14390,5966,22313,-10884,-2460,5463,59519,19929.4,-3079.4,-21.81
S12000034,S12000035,14,5,0,4,-14,-9,-10,23,7.7,6.3,2.27
S12000034,S12000036,39,5,29,29,-10,-34,-10,102,34.2,4.8,0.83
S12000034,S12000038,0,6,0,4,0,6,4,10,3.3,-3.3,-1.83
S12000034,S12000040,0,3,0,4,0,3,4,7,2.3,-2.3,-1.53
S12000034,S12000041,286,204,92,312,-194,-82,26,894,299.3,-13.3,-0.77
S12000034,S12000042,40,11,12,50,-28,-29,10,113,37.8,2.2,0.35
S12000034,S12000046,20,6,12,17,-8,-14,-3,55,18.4,1.6,0.37
S12000035,S12000006,0,3,0,9,0,3,9,12,4.0,-4.0,-2.00
S12000035,S12000008,12,0,0,0,-12,-12,-12,12,4.0,8.0,3.98
S12000035,S12000011,8,6,3,6,-5,-2,-2,23,7.7,0.3,0.11
S12000035,S12000013,14,0,3,6,-11,-14,-8,23,7.7,6.3,2.27
S12000035,S12000014,9,8,4,3,-5,-1,-6,24,8.0,1.0,0.34
S12000035,S12000015,24,5,4,4,-20,-19,-20,37,12.4,11.6,3.30
S12000035,S12000017,91,43,13,39,-78,-48,-52,186,62.3,28.7,3.64
S12000035,S12000018,180,45,63,133,-117,-135,-47,421,141.0,39.0,3.29
S12000035,S12000019,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000035,S12000020,41,8,0,27,-41,-33,-14,76,25.4,15.6,3.08
S12000035,S12000021,14,8,5,8,-9,-6,-6,35,11.7,2.3,0.67
S12000035,S12000023,9,0,0,3,-9,-9,-6,12,4.0,5.0,2.49
S12000035,S12000024,7,6,0,3,-7,-1,-4,16,5.4,1.6,0.71
S12000035,S12000028,8,0,3,4,-5,-8,-4,15,5.0,3.0,1.33
S12000035,S12000029,33,17,16,13,-17,-16,-20,79,26.5,6.5,1.27
