source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000035,S12000030,32,7,4,49,-28,-25,17,92,30.8,1.2,0.22
S12000035,S12000033,24,9,6,12,-18,-15,-12,51,17.1,6.9,1.68
S12000035,S12000034,8,0,6,4,-2,-8,-4,18,6.0,2.0,0.80
S12000035,S12000035,10937,3048,2703,8787,-8234,-7889,-2150,25475,8530.1,2406.9,26.06
S12000035,S12000036,36,8,28,14,-8,-28,-22,86,28.8,7.2,1.34
S12000035,S12000038,212,84,60,125,-152,-128,-87,481,161.1,50.9,4.01
S12000035,S12000039,566,168,141,380,-425,-398,-186,1255,420.2,145.8,7.11
S12000035,S12000040,6,8,5,4,-1,2,-2,23,7.7,-1.7,-0.61
S12000035,S12000041,11,0,0,0,-11,-11,-11,11,3.7,7.3,3.81
S12000035,S12000042,0,0,3,4,3,0,4,7,2.3,-2.3,-1.53
S12000035,S12000044,18,19,11,14,-7,1,-4,62,20.8,-2.8,-0.61
S12000035,S12000045,19,18,15,32,-4,-1,13,84,28.1,-9.1,-1.72
S12000035,S12000046,666,187,576,619,-90,-479,-47,2048,685.8,-19.8,-0.75
S12000036,S12000005,22,33,15,29,-7,11,7,99,33.1,-11.1,-1.94
S12000036,S12000006,22,5,8,8,-14,-17,-14,43,14.4,7.6,2.00
S12000036,S12000008,3,3,0,0,-3,0,-3,6,2.0,1.0,0.70
S12000036,S12000010,1218,531,724,1880,-494,-687,662,4353,1457.6,-239.6,-6.27
S12000036,S12000011,6,4,0,0,-6,-2,-6,10,3.3,2.7,1.45
S12000036,S12000014,303,320,127,248,-176,17,-55,998,334.2,-31.2,-1.71
S12000036,S12000015,986,615,635,727,-351,-371,-259,2963,992.1,-6.1,-0.19
S12000036,S12000017,19,15,8,26,-11,-4,7,68,22.8,-3.8,-0.79
S12000036,S12000018,6,3,6,0,0,-3,-6,15,5.0,1.0,0.44
S12000036,S12000019,1417,917,1092,1915,-325,-500,498,5341,1788.4,-371.4,-8.78
S12000036,S12000020,8,8,0,4,-8,0,-4,20,6.7,1.3,0.50
S12000036,S12000021,3,8,4,3,1,5,0,18,6.0,-3.0,-1.23
S12000036,S12000023,4,0,4,0,0,-4,-4,8,2.7,1.3,0.81
S12000036,S12000024,142,58,56,93,-86,-84,-49,349,116.9,25.1,2.33
S12000036,S12000026,207,58,71,208,-136,-149,1,544,182.2,24.8,1.84
S12000036,S12000027,0,5,0,0,0,5,0,5,1.7,-1.7,-1.29
S12000036,S12000028,8,5,3,13,-5,-3,5,29,9.7,-1.7,-0.55
S12000036,S12000029,121,86,60,71,-61,-35,-50,338,113.2,7.8,0.74
S12000036,S12000030,196,65,201,279,5,-131,83,741,248.1,-52.1,-3.31
S12000036,S12000033,40,104,58,75,18,64,35,277,92.8,-52.8,-5.48
S12000036,S12000034,5,17,13,11,8,12,6,46,15.4,-10.4,-2.65
S12000036,S12000035,36,7,3,6,-33,-29,-30,52,17.4,18.6,4.45
S12000036,S12000036,50380,11941,50544,58699,164,-38439,8319,171564,57446.8,-7066.8,-29.48
S12000036,S12000038,52,30,22,18,-30,-22,-34,122,40.9,11.1,1.74
S12000036,S12000039,14,5,5,3,-9,-9,-11,27,9.0,5.0,1.65
S12000036,S12000040,1736,1109,1245,1601,-491,-627,-135,5691,1905.6,-169.6,-3.88
S12000036,S12000041,12,5,8,6,-4,-7,-6,31,10.4,1.6,0.50
S12000036,S12000042,74,34,68,110,-6,-40,36,286,95.8,-21.8,-2.22
S12000036,S12000044,166,207,116,85,-50,41,-81,574,192.2,-26.2,-1.89
S12000036,S12000045,15,10,30,9,15,-5,-6,64,21.4,-6.4,-1.39
S12000036,S12000046,496,196,899,577,403,-300,81,2168,725.9,-229.9,-8.53
S12000038,S12000005,0,10,0,3,0,10,3,13,4.4,-4.4,-2.09
S12000038,S12000006,7,3,3,4,-4,-4,-3,17,5.7,1.3,0.55
S12000038,S12000008,99,46,26,84,-73,-53,-15,255,85.4,13.6,1.47
S12000038,S12000010,4,4,5,5,1,0,1,18,6.0,-2.0,-0.83
S12000038,S12000011,574,190,147,521,-427,-384,-53,1432,479.5,94.5,4.32
S12000038,S12000014,26,76,11,34,-15,50,8,147,49.2,-23.2,-3.31
S12000038,S12000015,27,35,6,10,-21,8,-17,78,26.1,0.9,0.17
S12000038,S12000017,10,3,6,9,-4,-7,-1,28,9.4,0.6,0.20
S12000038,S12000018,851,227,400,610,-451,-624,-241,2088,699.1,151.9,5.74
S12000038,S12000019,8,3,0,7,-8,-5,-1,18,6.0,2.0,0.80
S12000038,S12000020,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000038,S12000021,258,202,72,244,-186,-56,-14,776,259.8,-1.8,-0.11
S12000038,S12000024,7,9,0,8,-7,2,1,24,8.0,-1.0,-0.37
S12000038,S12000026,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000038,S12000027,0,10,0,0,0,10,0,10,3.3,-3.3,-1.83
S12000038,S12000028,91,71,27,115,-64,-20,24,304,101.8,-10.8,-1.07
S12000038,S12000029,354,389,200,320,-154,35,-34,1263,422.9,-68.9,-3.35
S12000038,S12000030,31,27,27,72,-4,-4,41,157,52.6,-21.6,-2.97
S12000038,S12000033,14,44,25,13,11,30,-1,96,32.1,-18.1,-3.20
S12000038,S12000034,7,9,0,7,-7,2,0,23,7.7,-0.7,-0.25
S12000038,S12000035,216,43,45,74,-171,-173,-142,378,126.6,89.4,7.95
S12000038,S12000036,70,52,130,76,60,-18,6,328,109.8,-39.8,-3.80
S12000038,S12000038,13161,6493,3739,13582,-9422,-6668,421,36975,12380.8,780.2,7.01
S12000038,S12000039,630,228,240,335,-390,-402,-295,1433,479.8,150.2,6.86
S12000038,S12000040,32,57,39,32,7,25,0,160,53.6,-21.6,-2.95
S12000038,S12000041,7,3,0,3,-7,-4,-4,13,4.4,2.6,1.27
S12000038,S12000042,3,8,0,7,-3,5,4,18,6.0,-3.0,-1.23
S12000038,S12000044,274,350,162,214,-112,76,-60,1000,334.8,-60.8,-3.32
S12000038,S12000045,125,87,110,144,-15,-38,19,466,156.0,-31.0,-2.48
S12000038,S12000046,7965,2887,5825,5880,-2140,-5078,-2085,22557,7553.0,412.0,4.74
S12000039,S12000005,5,4,0,0,-5,-1,-5,9,3.0,2.0,1.14
S12000039,S12000008,5,13,0,5,-5,8,0,23,7.7,-2.7,-0.97
S12000039,S12000011,19,18,8,31,-11,-1,12,76,25.4,-6.4,-1.28
S12000039,S12000014,13,34,8,11,-5,21,-2,66,22.1,-9.1,-1.94
S12000039,S12000015,14,12,11,7,-3,-2,-7,44,14.7,-0.7,-0.19
S12000039,S12000017,4,7,0,3,-4,3,-1,14,4.7,-0.7,-0.32
S12000039,S12000018,103,34,55,89,-48,-69,-14,281,94.1,8.9,0.92
S12000039,S12000019,9,3,0,3,-9,-6,-6,15,5.0,4.0,1.77
S12000039,S12000021,22,17,14,17,-8,-5,-5,70,23.4,-1.4,-0.30
S12000039,S12000024,0,6,3,4,3,6,4,13,4.4,-4.4,-2.09
S12000039,S12000028,10,20,4,12,-6,10,2,46,15.4,-5.4,-1.38
S12000039,S12000029,105,125,58,136,-47,20,31,424,142.0,-37.0,-3.10
S12000039,S12000030,85,40,23,146,-62,-45,61,294,98.4,-13.4,-1.35
S12000039,S12000033,10,12,11,7,1,2,-3,40,13.4,-3.4,-0.93
S12000039,S12000034,5,0,0,0,-5,-5,-5,5,1.7,3.3,2.57
S12000039,S12000035,1674,308,512,540,-1162,-1366,-1134,3034,1015.9,658.1,20.65
S12000039,S12000036,39,16,45,13,6,-23,-26,113,37.8,1.2,0.19
S12000039,S12000038,651,493,256,511,-395,-158,-140,1911,639.9,11.1,0.44
S12000039,S12000039,6112,2399,1692,6063,-4420,-3713,-49,16266,5446.5,665.5,9.02
S12000039,S12000040,25,28,20,9,-5,3,-16,82,27.5,-2.5,-0.47
S12000039,S12000041,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000039,S12000042,3,8,3,6,0,5,3,20,6.7,-3.7,-1.43
S12000039,S12000044,101,145,62,109,-39,44,8,417,139.6,-38.6,-3.27
S12000039,S12000045,263,121,122,310,-141,-142,47,816,273.2,-10.2,-0.62
S12000039,S12000046,4007,1633,2422,2917,-1585,-2374,-1090,10979,3676.2,330.8,5.46
S12000040,S12000005,38,35,15,22,-23,-3,-16,110,36.8,1.2,0.19
S12000040,S12000006,3,6,0,0,-3,3,-3,9,3.0,0.0,-0.01
S12000040,S12000008,7,18,4,0,-3,11,-7,29,9.7,-2.7,-0.87
S12000040,S12000010,73,60,57,107,-16,-13,34,297,99.4,-26.4,-2.65
S12000040,S12000011,4,3,3,3,-1,-1,-1,13,4.4,-0.4,-0.17
S12000040,S12000014,642,616,230,640,-412,-26,-2,2128,712.5,-70.5,-2.64
S12000040,S12000015,241,310,228,195,-13,69,-46,974,326.1,-85.1,-4.71
S12000040,S12000017,8,9,0,7,-8,1,-1,24,8.0,0.0,-0.01
S12000040,S12000018,5,9,0,0,-5,4,-5,14,4.7,0.3,0.14
S12000040,S12000019,213,190,143,170,-70,-23,-43,716,239.7,-26.7,-1.73
S12000040,S12000020,7,5,0,0,-7,-2,-7,12,4.0,3.0,1.49
S12000040,S12000021,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000040,S12000024,32,32,17,30,-15,0,-2,111,37.2,-5.2,-0.85
S12000040,S12000026,20,14,5,21,-15,-6,1,60,20.1,-0.1,-0.02
S12000040,S12000028,6,7,3,3,-3,1,-3,19,6.4,-0.4,-0.14
S12000040,S12000029,238,222,110,138,-128,-16,-100,708,237.1,0.9,0.06
S12000040,S12000030,177,95,121,168,-56,-82,-9,561,187.8,-10.8,-0.79
S12000040,S12000033,19,43,18,18,-1,24,-1,98,32.8,-13.8,-2.41
S12000040,S12000034,4,12,3,6,-1,8,2,25,8.4,-4.4,-1.51
S12000040,S12000035,20,5,5,0,-15,-15,-20,30,10.0,10.0,3.14
S12000040,S12000036,6296,2099,6592,4632,296,-4197,-1664,19619,6569.3,-273.3,-3.37
S12000040,S12000038,54,58,24,25,-30,4,-29,161,53.9,0.1,0.01
S12000040,S12000039,16,7,12,5,-4,-9,-11,40,13.4,2.6,0.71
S12000040,S12000040,13706,8567,6772,15149,-6934,-5139,1443,44194,14798.0,-1092.0,-8.98
S12000040,S12000041,6,3,0,0,-6,-3,-6,9,3.0,3.0,1.72
S12000040,S12000042,16,9,13,22,-3,-7,6,60,20.1,-4.1,-0.91
S12000040,S12000044,609,521,235,427,-374,-88,-182,1792,600.0,9.0,0.37
S12000040,S12000045,18,19,23,21,5,1,3,81,27.1,-9.1,-1.75
S12000040,S12000046,476,281,604,457,128,-195,-19,1818,608.7,-132.7,-5.38
S12000041,S12000005,0,0,3,5,3,0,5,8,2.7,-2.7,-1.64
S12000041,S12000010,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000041,S12000014,7,6,4,3,-3,-1,-4,20,6.7,0.3,0.12
S12000041,S12000015,142,69,38,138,-104,-73,-4,387,129.6,12.4,1.09
S12000041,S12000017,13,4,0,8,-13,-9,-5,25,8.4,4.6,1.60
S12000041,S12000019,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000041,S12000020,26,6,0,0,-26,-20,-26,32,10.7,15.3,4.67
S12000041,S12000023,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000041,S12000024,451,258,195,330,-256,-193,-121,1234,413.2,37.8,1.86
S12000041,S12000027,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000041,S12000029,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000041,S12000030,13,8,7,18,-6,-5,5,46,15.4,-2.4,-0.61
S12000041,S12000033,518,711,392,458,-126,193,-60,2079,696.1,-178.1,-6.75
S12000041,S12000034,433,562,201,329,-232,129,-104,1525,510.6,-77.6,-3.44
S12000041,S12000035,27,0,0,4,-27,-27,-23,31,10.4,16.6,5.16
S12000041,S12000036,46,20,46,29,0,-26,-17,141,47.2,-1.2,-0.18
S12000041,S12000038,3,7,0,5,-3,4,2,15,5.0,-2.0,-0.90
S12000041,S12000040,10,4,9,9,-1,-6,-1,32,10.7,-0.7,-0.22
S12000041,S12000041,9191,5515,2078,9356,-7113,-3676,165,26140,8752.8,438.2,4.68
S12000041,S12000042,4479,1644,1676,3830,-2803,-2835,-649,11629,3893.9,585.1,9.38
S12000041,S12000044,6,11,7,7,1,5,1,31,10.4,-4.4,-1.36
S12000041,S12000046,18,11,11,19,-7,-7,1,59,19.8,-1.8,-0.39
S12000042,S12000005,5,3,5,0,0,-2,-5,13,4.4,0.6,0.31
S12000042,S12000014,11,11,0,3,-11,0,-8,25,8.4,2.6,0.91
S12000042,S12000015,477,236,156,603,-321,-241,126,1472,492.9,-15.9,-0.72
S12000042,S12000017,12,3,3,4,-9,-9,-8,22,7.4,4.6,1.71
S12000042,S12000019,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000042,S12000020,16,8,0,0,-16,-8,-16,24,8.0,8.0,2.81
S12000042,S12000021,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000042,S12000024,840,506,446,515,-394,-334,-325,2307,772.5,67.5,2.43
S12000042,S12000029,8,5,4,0,-4,-3,-8,17,5.7,2.3,0.97
S12000042,S12000030,21,14,12,39,-9,-7,18,86,28.8,-7.8,-1.45
S12000042,S12000033,73,180,75,94,2,107,21,422,141.3,-68.3,-5.75
S12000042,S12000034,31,67,22,26,-9,36,-5,146,48.9,-17.9,-2.56
S12000042,S12000035,14,0,0,3,-14,-14,-11,17,5.7,8.3,3.48
S12000042,S12000036,71,36,93,54,22,-35,-17,254,85.0,-14.0,-1.52
S12000042,S12000038,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000042,S12000040,8,16,9,28,1,8,20,61,20.4,-12.4,-2.75
S12000042,S12000041,1138,527,243,1083,-895,-611,-55,2991,1001.5,136.5,4.31
S12000042,S12000042,15613,5718,6044,17935,-9569,-9895,2322,45310,15171.7,441.3,3.58
S12000042,S12000044,4,13,3,4,-1,9,0,24,8.0,-4.0,-1.42
S12000042,S12000045,0,0,3,0,3,0,0,3,1.0,-1.0,-1.00
S12000042,S12000046,24,13,20,28,-4,-11,4,85,28.5,-4.5,-0.84
S12000044,S12000005,51,66,22,61,-29,15,10,200,67.0,-16.0,-1.95
S12000044,S12000006,22,20,6,21,-16,-2,-1,69,23.1,-1.1,-0.23
S12000044,S12000008,54,59,13,32,-41,5,-22,158,52.9,1.1,0.15
S12000044,S12000010,9,12,11,17,2,3,8,49,16.4,-7.4,-1.83
S12000044,S12000011,64,56,36,77,-28,-8,13,233,78.0,-14.0,-1.59
S12000044,S12000014,716,668,258,785,-458,-48,69,2427,812.7,-96.7,-3.39
S12000044,S12000015,98,145,48,75,-50,47,-23,366,122.6,-24.6,-2.22
S12000044,S12000017,27,14,0,6,-27,-13,-21,47,15.7,11.3,2.84
S12000044,S12000018,35,27,28,24,-7,-8,-11,114,38.2,-3.2,-0.51
S12000044,S12000019,33,29,27,42,-6,-4,9,131,43.9,-10.9,-1.64
S12000044,S12000020,4,6,0,0,-4,2,-4,10,3.3,0.7,0.36
S12000044,S12000021,19,30,10,19,-9,11,0,78,26.1,-7.1,-1.39
S12000044,S12000023,4,3,0,0,-4,-1,-4,7,2.3,1.7,1.08
S12000044,S12000024,31,27,9,31,-22,-4,0,98,32.8,-1.8,-0.32
S12000044,S12000026,0,7,0,10,0,7,10,17,5.7,-5.7,-2.39
S12000044,S12000027,0,10,4,0,4,10,0,14,4.7,-4.7,-2.17
S12000044,S12000028,52,49,13,51,-39,-3,-1,165,55.2,-3.2,-0.44
S12000044,S12000029,5176,3597,1911,3962,-3265,-1579,-1214,14646,4904.1,271.9,3.88
S12000044,S12000030,383,197,250,493,-133,-186,110,1323,443.0,-60.0,-2.85
S12000044,S12000033,38,110,36,17,-2,72,-21,201,67.3,-29.3,-3.57
S12000044,S12000034,8,21,5,5,-3,13,-3,39,13.1,-5.1,-1.40
S12000044,S12000035,76,20,19,6,-57,-56,-70,121,40.5,35.5,5.57
S12000044,S12000036,677,411,1003,478,326,-266,-199,2569,860.2,-183.2,-6.25
S12000044,S12000038,545,507,249,379,-296,-38,-166,1680,562.5,-17.5,-0.74
S12000044,S12000039,203,106,83,83,-120,-97,-120,475,159.0,44.0,3.48
S12000044,S12000040,1031,1060,739,1195,-292,29,164,4025,1347.7,-316.7,-8.63
S12000044,S12000041,4,3,0,4,-4,-1,0,11,3.7,0.3,0.17
S12000044,S12000042,12,11,11,25,-1,-1,13,59,19.8,-7.8,-1.74
S12000044,S12000044,25790,12602,7950,24759,-17840,-13188,-1031,71101,23807.6,1982.4,12.85
S12000044,S12000045,782,518,425,754,-357,-264,-28,2479,830.1,-48.1,-1.67
S12000044,S12000046,10400,3481,7946,7687,-2454,-6919,-2713,29514,9882.5,517.5,5.21
S12000045,S12000005,25,16,0,11,-25,-9,-14,52,17.4,7.6,1.82
S12000045,S12000006,5,0,0,4,-5,-5,-1,9,3.0,2.0,1.14
S12000045,S12000008,36,20,6,9,-30,-16,-27,71,23.8,12.2,2.51
S12000045,S12000010,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000045,S12000011,33,33,24,70,-9,0,37,160,53.6,-20.6,-2.81
S12000045,S12000013,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000045,S12000014,128,122,64,144,-64,-6,16,458,153.4,-25.4,-2.05
S12000045,S12000015,29,34,18,23,-11,5,-6,104,34.8,-5.8,-0.99
S12000045,S12000017,0,4,0,3,0,4,3,7,2.3,-2.3,-1.53
S12000045,S12000018,67,24,43,47,-24,-43,-20,181,60.6,6.4,0.82
S12000045,S12000019,6,10,6,5,0,4,-1,27,9.0,-3.0,-1.01
S12000045,S12000020,3,3,0,0,-3,0,-3,6,2.0,1.0,0.70
S12000045,S12000021,17,20,9,22,-8,3,5,68,22.8,-5.8,-1.21
S12000045,S12000024,14,7,3,19,-11,-7,5,43,14.4,-0.4,-0.10
S12000045,S12000028,27,13,8,18,-19,-14,-9,66,22.1,4.9,1.04
S12000045,S12000029,320,280,151,259,-169,-40,-61,1010,338.2,-18.2,-0.99
S12000045,S12000030,171,87,94,196,-77,-84,25,548,183.5,-12.5,-0.92
S12000045,S12000033,14,15,18,17,4,1,3,64,21.4,-7.4,-1.60
S12000045,S12000034,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000045,S12000035,74,21,35,38,-39,-53,-36,168,56.3,17.7,2.37
S12000045,S12000036,131,60,310,91,179,-71,-40,592,198.2,-67.2,-4.77
S12000045,S12000038,483,366,196,430,-287,-117,-53,1475,493.9,-10.9,-0.49
S12000045,S12000039,541,163,244,423,-297,-378,-118,1371,459.1,81.9,3.82
S12000045,S12000040,42,61,50,51,8,19,9,204,68.3,-26.3,-3.18
S12000045,S12000042,6,5,4,12,-2,-1,6,27,9.0,-3.0,-1.01
S12000045,S12000044,891,559,348,782,-543,-332,-109,2580,863.9,27.1,0.92
S12000045,S12000045,2876,1285,1385,4695,-1491,-1591,1819,10241,3429.1,-553.1,-9.45
S12000045,S12000046,7689,2147,5276,6613,-2413,-5542,-1076,21725,7274.4,414.6,4.86
S12000046,S12000005,14,45,7,45,-7,31,31,111,37.2,-23.2,-3.80
S12000046,S12000006,53,22,16,31,-37,-31,-22,122,40.9,12.1,1.90
S12000046,S12000008,412,85,72,226,-340,-327,-186,795,266.2,145.8,8.94
S12000046,S12000010,11,10,8,31,-3,-1,20,60,20.1,-9.1,-2.03
S12000046,S12000011,1196,451,331,1569,-865,-745,373,3547,1187.7,8.3,0.24
S12000046,S12000013,5,3,0,4,-5,-2,-1,12,4.0,1.0,0.49
S12000046,S12000014,213,298,109,257,-104,85,44,877,293.7,-80.7,-4.71
S12000046,S12000015,99,136,38,60,-61,37,-39,333,111.5,-12.5,-1.18
S12000046,S12000017,18,13,10,27,-8,-5,9,68,22.8,-4.8,-1.00
S12000046,S12000018,417,120,241,338,-176,-297,-79,1116,373.7,43.3,2.24
S12000046,S12000019,30,19,18,16,-12,-11,-14,83,27.8,2.2,0.42
S12000046,S12000020,9,6,0,3,-9,-3,-6,18,6.0,3.0,1.21
S12000046,S12000021,212,136,98,231,-114,-76,19,677,226.7,-14.7,-0.98
S12000046,S12000023,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000046,S12000024,45,37,11,59,-34,-8,14,152,50.9,-5.9,-0.83
S12000046,S12000026,0,0,0,5,0,0,5,5,1.7,-1.7,-1.29
S12000046,S12000027,5,11,4,4,-1,6,-1,24,8.0,-3.0,-1.07
S12000046,S12000028,299,123,88,292,-211,-176,-7,802,268.5,30.5,1.86
S12000046,S12000029,2731,1879,1201,2827,-1530,-852,96,8638,2892.4,-161.4,-3.00
S12000046,S12000030,292,111,195,399,-97,-181,107,997,333.8,-41.8,-2.29
S12000046,S12000033,42,93,42,38,0,51,-4,215,72.0,-30.0,-3.53
S12000046,S12000034,8,12,10,8,2,4,0,38,12.7,-4.7,-1.32
S12000046,S12000035,279,109,85,127,-194,-170,-152,600,200.9,78.1,5.51
S12000046,S12000036,640,255,1124,464,484,-385,-176,2483,831.4,-191.4,-6.64
S12000046,S12000038,3307,2268,1472,3615,-1835,-1039,308,10662,3570.1,-263.1,-4.40
S12000046,S12000039,1644,512,707,1424,-937,-1132,-220,4287,1435.5,208.5,5.50
S12000046,S12000040,209,235,250,295,41,26,86,989,331.2,-122.2,-6.71
S12000046,S12000041,11,4,0,3,-11,-7,-8,18,6.0,5.0,2.03
S12000046,S12000042,25,15,12,43,-13,-10,18,95,31.8,-6.8,-1.21
S12000046,S12000044,2487,1645,1139,2273,-1348,-842,-214,7544,2526.0,-39.0,-0.78
S12000046,S12000045,1148,631,939,1757,-209,-517,609,4475,1498.4,-350.4,-9.05
S12000046,S12000046,53850,15926,35258,60123,-18592,-37924,6273,165157,55301.5,-1451.5,-6.17
,,,,,,,,,,,,26.06
,,,,,,,,,,,,-29.48