HBCode,HBName,colour,cx,cy,row,col
S08000015,Ayrshire and Arran,#9a4e87,239847,618381,3,1
S08000016,Borders,#5bc34e,350077,631589,4,3
S08000017,Dumfries and Galloway,#9b58cb,275460,577057,4,2
S08000019,Forth Valley,#9fba36,261215,703641,2,2
S08000020,Grampian,#586fd8,352904,823280,1,3
S08000022,Highland,#d0af3f,234242,832092,1,1
S08000024,Lothian,#2d7a59,331968,668281,3,3
S08000025,Orkney,#559532,334042,1014814,0,2
S08000026,Shetland,#de386a,438627,1168746,0,4
S08000028,Western Isles,#63c47c,125787,925502,1,0
S08000029,Fife,#d04988,330267,705070,2,3
S08000030,Tayside,#d24132,304569,747274,1,2
S08000031,Greater Glasgow and Clyde,#3abbcc,246744,668681,2,1
S08000032,Lanarkshire,#e1852f,284388,643435,3,2