LACode,name,short,colour,cx,cy,row,col
S12000005,Clackmannanshire,CLK,#025ddd,291538,695953,4,5
S12000006,Dumfries and Galloway,D&G,#a877ff,274463,577773,8,5
S12000008,East Ayrshire,AYE,#f4c900,253876,624467,7,3
S12000010,East Lothian,LOE,#7362fc,354574,671565,7,7
S12000011,East Renfrewshire,RFE,#639e00,251243,653894,7,4
S12000013,Na h-Eileanan Siar,WST,#f453e6,126079,925104,2,1
S12000014,Falkirk,FAL,#008d2e,287614,679220,5,5
S12000015,Fife,FFE,#01bf77,330459,705129,4,6
S12000017,Highland,HGH,#d0af3f,241140,858171,2,3
S12000018,Inverclyde,INV,#63ebb9,228525,670749,5,2
S12000019,Midlothian,LOM,#d21402,329748,661150,7,6
S12000020,Moray,MOR,#6098ff,323513,844187,2,4
S12000021,North Ayrshire,AYN,#ffb43c,229194,651054,6,2
S12000023,Orkney Islands,ORK,#8688ff,336664,1013618,0,4
S12000024,Perth and Kinross,P&K,#6c7100,287512,743022,3,4
S12000026,Scottish Borders,BRD,#5bc34e,349818,631748,8,6
S12000027,Shetland Islands,SHE,#de386a,436220,1158484,0,7
S12000028,South Ayrshire,AYS,#02b1a3,229826,601763,7,2
S12000029,South Lanarkshire,LNS,#a60033,285631,637701,7,5
S12000030,Stirling,STR,#0294cf,255534,707548,4,4
S12000033,Aberdeen City,ABC,#75261a,389618,807854,2,6
S12000034,Aberdeenshire,ABS,#b9d6fa,361564,817234,2,5
S12000035,Argyll and Bute,A&B,#a50076,199951,692400,3,3
S12000036,City of Edinburgh,EDI,#304718,319752,670857,6,7
S12000038,Renfrewshire,RNF,#ff406b,240948,664304,6,3
S12000039,West Dunbartonshire,DBW,#7ce2f2,243650,680064,5,3
S12000040,West Lothian,LOW,#d580ff,301455,667064,6,6
S12000041,Angus,ANG,#ff8fba,343195,759046,3,5
S12000042,Dundee City,DUN,#552e77,340844,732132,3,6
S12000044,North Lanarkshire,LNN,#ffc39c,277459,666649,6,5
S12000045,East Dunbartonshire,DBE,#742142,260184,675970,5,4
S12000046,Glasgow City,GLA,#f3c6ec,259332,667323,6,4