regionCode,regionName,regionTXT,gridX,gridY,altX,altY,g79X,g79Y
S12000005,Clackmannanshire,CLK,3,2,4,4,4,4
S12000006,Dumfries and Galloway,D&G,2,5,3,6,4,8
S12000008,East Ayrshire,AYE,1,5,1,6,2,7
S12000010,East Lothian,LOE,5,4,6,4,6,7
S12000011,East Renfrewshire,RFE,1,4,2,6,3,7
S12000013,Na h-Eileanan Siar,WST,0,1,0,1,0,2
S12000014,Falkirk,FAL,3,3,3,4,4,5
S12000015,Fife,FFE,5,3,5,4,5,4
S12000017,Highland,HGH,1,1,2,2,2,2
S12000018,Inverclyde,INV,0,3,0,4,1,5
S12000019,Midlothian,LOM,4,5,6,5,5,7
S12000020,Moray,MOR,3,1,3,2,3,2
S12000021,North Ayrshire,AYN,0,4,0,5,1,6
S12000023,Orkney Islands,ORK,3,0,2,0,3,0
S12000024,Perth and Kinross,P&K,2,1,3,3,3,3
S12000026,Scottish Borders,BRD,5,5,5,6,5,8
S12000027,Shetland Islands,SHE,4,0,5,0,6,0
S12000028,South Ayrshire,AYS,0,5,0,6,1,7
S12000029,South Lanarkshire,LNS,3,5,4,6,4,7
S12000030,Stirling,STR,2,2,2,3,3,4
S12000033,Aberdeen City,ABC,5,1,5,2,5,2
S12000034,Aberdeenshire,ABS,4,1,4,2,4,2
S12000035,Argyll and Bute,A&B,0,2,1,3,2,3
S12000036,City of Edinburgh,EDI,4,3,5,5,6,6
S12000038,Renfrewshire,RNF,1,3,1,5,2,6
S12000039,West Dunbartonshire,DBW,1,2,1,4,2,5
S12000040,West Lothian,LOW,4,4,4,5,5,6
S12000041,Angus,ANG,5,2,4,3,4,3
S12000042,Dundee City,DUN,4,2,5,3,5,3
S12000044,North Lanarkshire,LNN,3,4,3,5,4,6
S12000045,East Dunbartonshire,DBE,2,3,2,4,3,5
S12000046,Glasgow City,GLA,2,4,2,5,3,6